,Y,X,Beta,p-value
30,1332 JT,3105 JT,-0.07358906294117305,0.012987168785355527
31,1332 JT,3110 JT,-0.06975990255740439,0.03706317712233638
32,1332 JT,3289 JT,0.020283813725345053,0.6013093525393367
33,1332 JT,3382 JT,-0.0942030468800465,0.0202757558783597
34,1332 JT,3401 JT,-0.09363754628636207,0.008692317897302786
35,1332 JT,3402 JT,-0.1409894332997589,0.0008005579427421529
36,1332 JT,3405 JT,-0.12444882766262709,0.0015665692489323154
37,1332 JT,3407 JT,-0.07098152064540397,0.0508978829078854
38,1332 JT,3436 JT,-0.04936706859135455,0.020770181996174076
39,1332 JT,3861 JT,-0.06738850614166883,0.05426160857832001
40,1332 JT,3863 JT,-0.030595365945763557,0.40296423352304367
41,1332 JT,3864 JT,-0.0014757763242181365,0.9849318303130796
42,1332 JT,3865 JT,-0.042392668363415764,0.19837470931568824
43,1332 JT,3893 JT,-0.055803329229463086,0.4317761172878418
44,1332 JT,4004 JT,-0.03377620624377169,0.2839603696912876
45,1332 JT,4005 JT,-0.07515541898423306,0.015008102363767418
46,1332 JT,4021 JT,-0.0810229340826066,0.021095570968223124
47,1332 JT,4041 JT,-0.07941500857440403,0.016996874732735208
48,1332 JT,4042 JT,-0.04463334817919168,0.09991386968976557
49,1332 JT,4043 JT,-0.08026499708359917,0.0001813461560925646
50,1332 JT,4061 JT,-0.08995215619150276,0.0081420915005342
51,1332 JT,4063 JT,-0.09350213526647434,0.013306231050167233
52,1332 JT,4151 JT,-0.11756616245023714,0.00045716705255307156
53,1332 JT,4183 JT,-0.07880676991397868,0.00926052690432216
54,1332 JT,4188 JT,-0.07993821044711596,0.015939854558989795
